Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°F),Relative humidity(%),Atmospheric pressure(hPa)
11/09/2023 10:22:31 AM,"715","70.1","",""
11/09/2023 10:24:31 AM,"677","70.2","53","991.0"
11/09/2023 10:26:31 AM,"662","70.1","52","990.9"
11/09/2023 10:28:31 AM,"659","69.9","52","990.9"
11/09/2023 10:30:31 AM,"633","69.8","52","991.0"
11/09/2023 10:32:31 AM,"658","69.8","53","991.0"
11/09/2023 10:34:31 AM,"657","69.9","53","991.1"
11/09/2023 10:36:31 AM,"637","70.1","53","991.0"
11/09/2023 10:38:31 AM,"667","70.3","53","991.0"
11/09/2023 10:40:31 AM,"664","70.4","53","991.0"
11/09/2023 10:42:31 AM,"720","70.6","53","991.0"
11/09/2023 10:44:31 AM,"716","70.8","53","991.0"
11/09/2023 10:46:31 AM,"718","70.9","53","991.1"
11/09/2023 10:48:31 AM,"715","70.9","53","991.1"
11/09/2023 10:50:31 AM,"677","70.8","52","991.1"
11/09/2023 10:52:31 AM,"676","70.5","51","991.0"
11/09/2023 10:54:31 AM,"647","70.3","52","991.0"
11/09/2023 10:56:31 AM,"645","70.3","52","991.1"
11/09/2023 10:58:31 AM,"658","70.3","52","991.1"
11/09/2023 11:00:31 AM,"675","70.3","53","991.1"
11/09/2023 11:02:31 AM,"702","70.5","53","991.1"
11/09/2023 11:04:31 AM,"664","70.7","53","991.0"
11/09/2023 11:06:31 AM,"697","70.8","53","991.0"
11/09/2023 11:08:31 AM,"703","71.0","53","991.0"
11/09/2023 11:10:31 AM,"725","71.0","53","991.0"
11/09/2023 11:12:31 AM,"684","70.8","52","990.9"
11/09/2023 11:14:31 AM,"669","70.4","51","990.9"
11/09/2023 11:16:31 AM,"663","70.0","51","990.8"
11/09/2023 11:18:31 AM,"648","69.6","52","990.8"
11/09/2023 11:20:31 AM,"660","69.7","52","990.8"
11/09/2023 11:22:31 AM,"663","69.8","52","990.8"
11/09/2023 11:24:31 AM,"671","70.0","52","990.7"
11/09/2023 11:26:31 AM,"693","70.2","52","990.7"
11/09/2023 11:28:31 AM,"691","70.3","52","990.7"
11/09/2023 11:30:31 AM,"730","70.5","52","990.7"
11/09/2023 11:32:31 AM,"730","70.7","52","990.7"
11/09/2023 11:34:31 AM,"716","70.7","52","990.8"
11/09/2023 11:36:31 AM,"690","70.4","51","990.7"
11/09/2023 11:38:31 AM,"683","70.1","51","990.7"
11/09/2023 11:40:31 AM,"680","69.7","51","990.6"
11/09/2023 11:42:31 AM,"674","69.6","52","990.6"
11/09/2023 11:44:31 AM,"677","69.7","52","990.6"
11/09/2023 11:46:31 AM,"698","69.9","52","990.5"
11/09/2023 11:48:31 AM,"729","70.2","52","990.5"
11/09/2023 11:50:31 AM,"782","70.5","55","990.5"
11/09/2023 11:52:31 AM,"785","72.0","52","990.5"
11/09/2023 11:54:31 AM,"785","72.5","51","990.5"
11/09/2023 11:56:31 AM,"823","73.0","51","990.5"
11/09/2023 11:58:31 AM,"760","73.3","49","990.4"
11/09/2023 12:00:31 PM,"736","73.3","48","990.4"
11/09/2023 12:02:31 PM,"718","73.0","48","990.4"
11/09/2023 12:04:31 PM,"726","72.5","48","990.3"
11/09/2023 12:06:31 PM,"710","72.2","49","990.3"
11/09/2023 12:08:31 PM,"727","72.0","49","990.3"
11/09/2023 12:10:31 PM,"752","72.1","50","990.4"
11/09/2023 12:12:31 PM,"782","72.2","50","990.3"
11/09/2023 12:14:31 PM,"802","72.3","50","990.4"
11/09/2023 12:16:31 PM,"929","72.4","50","990.3"
11/09/2023 12:18:31 PM,"834","72.5","50","990.4"
11/09/2023 12:20:31 PM,"759","72.5","49","990.3"
11/09/2023 12:22:31 PM,"728","72.0","48","990.3"
11/09/2023 12:24:31 PM,"705","71.5","47","990.3"
11/09/2023 12:26:31 PM,"699","71.1","49","990.3"
11/09/2023 12:28:31 PM,"704","71.1","50","990.3"
11/09/2023 12:30:31 PM,"709","71.2","50","990.2"
11/09/2023 12:32:31 PM,"712","71.4","50","990.1"
11/09/2023 12:34:31 PM,"731","71.6","50","990.1"
11/09/2023 12:36:31 PM,"707","71.8","50","990.1"
11/09/2023 12:38:31 PM,"731","72.0","50","990.0"
11/09/2023 12:40:31 PM,"723","72.0","50","990.0"
11/09/2023 12:42:31 PM,"700","71.9","49","989.9"
11/09/2023 12:44:31 PM,"675","71.3","48","989.9"
11/09/2023 12:46:31 PM,"680","70.8","48","989.8"
11/09/2023 12:48:31 PM,"676","70.4","49","989.8"
11/09/2023 12:50:31 PM,"660","70.5","49","989.8"
11/09/2023 12:52:31 PM,"661","70.7","50","989.7"
11/09/2023 12:54:31 PM,"675","70.9","50","989.7"
11/09/2023 12:56:31 PM,"680","71.1","50","989.7"
11/09/2023 12:58:31 PM,"685","71.2","50","989.7"
11/09/2023 1:00:31 PM,"684","71.2","49","989.7"
11/09/2023 1:02:31 PM,"696","70.8","48","989.8"
11/09/2023 1:04:31 PM,"675","70.4","47","989.7"
11/09/2023 1:06:31 PM,"674","70.1","49","989.7"
11/09/2023 1:08:31 PM,"674","70.2","49","989.6"
11/09/2023 1:10:31 PM,"696","70.3","49","989.6"
11/09/2023 1:12:31 PM,"701","70.5","50","989.6"
11/09/2023 1:14:31 PM,"732","70.7","50","989.7"
11/09/2023 1:16:31 PM,"749","71.0","50","989.8"
11/09/2023 1:18:31 PM,"735","71.1","50","989.8"
11/09/2023 1:20:31 PM,"726","70.9","49","989.8"
11/09/2023 1:22:31 PM,"722","70.5","48","989.8"
11/09/2023 1:24:31 PM,"687","70.2","48","989.7"
11/09/2023 1:26:31 PM,"693","70.0","49","989.7"
11/09/2023 1:28:31 PM,"698","70.2","50","989.6"
11/09/2023 1:30:31 PM,"741","70.3","50","989.6"
11/09/2023 1:32:31 PM,"764","70.6","50","989.6"
11/09/2023 1:34:31 PM,"768","70.8","50","989.6"
11/09/2023 1:36:31 PM,"752","71.0","50","989.6"
11/09/2023 1:38:31 PM,"717","70.8","49","989.7"
11/09/2023 1:40:31 PM,"708","70.4","48","989.6"
11/09/2023 1:42:31 PM,"698","70.1","48","989.6"
11/09/2023 1:44:31 PM,"691","70.0","49","989.6"
11/09/2023 1:46:31 PM,"714","70.1","50","989.6"
11/09/2023 1:48:31 PM,"715","70.3","50","989.5"
11/09/2023 1:50:31 PM,"770","70.5","50","989.6"
11/09/2023 1:52:31 PM,"770","70.7","50","989.6"
11/09/2023 1:54:31 PM,"729","70.8","49","989.6"
11/09/2023 1:56:31 PM,"707","70.5","49","989.6"
11/09/2023 1:58:31 PM,"701","70.2","48","989.6"
11/09/2023 2:00:31 PM,"671","69.8","48","989.6"
11/09/2023 2:02:31 PM,"676","69.5","49","989.6"
11/09/2023 2:04:31 PM,"674","69.6","49","989.6"
11/09/2023 2:06:31 PM,"704","69.8","50","989.6"
11/09/2023 2:08:31 PM,"730","70.1","50","989.5"
11/09/2023 2:10:31 PM,"730","70.3","50","989.5"
11/09/2023 2:12:31 PM,"724","70.4","49","989.5"
11/09/2023 2:14:31 PM,"710","70.2","49","989.6"
11/09/2023 2:16:31 PM,"697","69.9","49","989.6"
11/09/2023 2:18:31 PM,"657","69.5","48","989.7"
11/09/2023 2:20:31 PM,"655","69.2","49","989.6"
11/09/2023 2:22:31 PM,"644","69.3","50","989.6"
11/09/2023 2:24:31 PM,"663","69.3","50","989.6"
11/09/2023 2:26:31 PM,"638","69.5","50","989.6"
11/09/2023 2:28:31 PM,"639","69.7","50","989.6"
11/09/2023 2:30:31 PM,"625","69.8","50","989.5"
11/09/2023 2:32:31 PM,"619","69.6","49","989.5"
11/09/2023 2:34:31 PM,"610","69.3","49","989.5"
11/09/2023 2:36:31 PM,"593","68.8","49","989.4"
11/09/2023 2:38:31 PM,"596","68.6","49","989.3"
11/09/2023 2:40:31 PM,"598","68.6","50","989.3"
11/09/2023 2:42:31 PM,"582","68.8","50","989.3"
11/09/2023 2:44:31 PM,"581","69.0","50","989.3"
11/09/2023 2:46:31 PM,"602","69.2","50","989.3"
11/09/2023 2:48:31 PM,"595","69.3","50","989.2"
11/09/2023 2:50:31 PM,"588","69.3","50","989.2"
11/09/2023 2:52:31 PM,"593","69.1","49","989.2"
11/09/2023 2:54:31 PM,"581","68.7","49","989.2"
11/09/2023 2:56:31 PM,"570","68.4","49","989.2"
11/09/2023 2:58:31 PM,"578","68.1","50","989.2"
11/09/2023 3:00:31 PM,"590","68.1","50","989.2"
11/09/2023 3:02:31 PM,"558","68.3","50","989.2"
11/09/2023 3:04:31 PM,"580","68.4","50","989.1"
11/09/2023 3:06:31 PM,"574","68.5","50","989.1"
11/09/2023 3:08:31 PM,"562","68.8","50","989.1"
11/09/2023 3:10:31 PM,"577","68.9","50","989.2"
11/09/2023 3:12:31 PM,"575","68.8","50","989.1"
11/09/2023 3:14:31 PM,"572","68.5","49","989.1"
11/09/2023 3:16:31 PM,"576","68.1","49","989.1"
11/09/2023 3:18:31 PM,"566","67.9","50","989.0"
11/09/2023 3:20:31 PM,"559","68.0","50","989.0"
11/09/2023 3:22:31 PM,"575","68.1","50","988.9"
11/09/2023 3:24:31 PM,"574","68.3","50","989.0"
11/09/2023 3:26:31 PM,"566","68.5","51","988.9"
11/09/2023 3:28:31 PM,"575","68.6","51","988.9"
11/09/2023 3:30:31 PM,"577","68.6","50","988.9"
11/09/2023 3:32:31 PM,"556","68.5","50","988.8"
11/09/2023 3:34:31 PM,"577","68.0","50","988.8"
11/09/2023 3:36:31 PM,"557","67.7","50","988.7"
11/09/2023 3:38:31 PM,"554","67.7","51","988.7"
11/09/2023 3:40:31 PM,"564","67.8","51","988.7"
11/09/2023 3:42:31 PM,"557","68.0","51","988.7"
11/09/2023 3:44:31 PM,"563","68.2","51","988.6"
11/09/2023 3:46:31 PM,"562","68.4","51","988.7"
11/09/2023 3:48:31 PM,"550","68.5","51","988.7"
11/09/2023 3:50:31 PM,"566","68.3","50","988.7"
11/09/2023 3:52:31 PM,"554","67.9","50","988.7"
11/09/2023 3:54:31 PM,"556","67.6","50","988.6"
11/09/2023 3:56:31 PM,"565","67.5","51","988.5"
11/09/2023 3:58:31 PM,"564","67.6","51","988.5"
11/09/2023 4:00:31 PM,"543","67.7","51","988.5"
11/09/2023 4:02:31 PM,"563","67.9","51","988.4"
11/09/2023 4:04:31 PM,"566","68.1","51","988.4"
11/09/2023 4:06:31 PM,"560","68.3","51","988.4"
11/09/2023 4:08:31 PM,"572","68.3","51","988.4"
11/09/2023 4:10:31 PM,"557","68.0","50","988.4"
11/09/2023 4:12:31 PM,"572","67.6","50","988.4"
11/09/2023 4:14:31 PM,"550","67.5","51","988.3"
11/09/2023 4:16:31 PM,"569","67.4","51","988.3"
11/09/2023 4:18:31 PM,"557","67.5","51","988.3"
11/09/2023 4:20:31 PM,"570","67.6","51","988.4"
11/09/2023 4:22:31 PM,"554","67.7","51","988.4"
11/09/2023 4:24:31 PM,"565","67.9","51","988.4"
11/09/2023 4:26:31 PM,"558","68.0","51","988.5"
11/09/2023 4:28:31 PM,"565","67.8","51","988.4"
11/09/2023 4:30:31 PM,"550","67.5","50","988.5"
11/09/2023 4:32:31 PM,"557","67.2","50","988.4"
11/09/2023 4:34:31 PM,"567","67.0","51","988.3"
11/09/2023 4:36:31 PM,"561","67.0","51","988.3"
11/09/2023 4:38:31 PM,"567","67.1","51","988.3"
11/09/2023 4:40:31 PM,"573","67.3","51","988.2"
11/09/2023 4:42:31 PM,"566","67.5","51","988.3"
11/09/2023 4:44:31 PM,"569","67.6","52","988.3"
11/09/2023 4:46:31 PM,"565","67.6","51","988.2"
11/09/2023 4:48:31 PM,"575","67.5","51","988.2"
11/09/2023 4:50:31 PM,"573","67.3","51","988.2"
11/09/2023 4:52:31 PM,"577","67.0","50","988.2"
11/09/2023 4:54:31 PM,"562","66.7","51","988.1"
11/09/2023 4:56:31 PM,"572","66.7","51","988.1"
11/09/2023 4:58:31 PM,"575","66.7","52","988.1"
11/09/2023 5:00:31 PM,"583","66.8","52","988.1"
11/09/2023 5:02:31 PM,"574","67.0","52","988.1"
11/09/2023 5:04:31 PM,"584","67.2","52","988.1"
11/09/2023 5:06:31 PM,"590","67.3","52","988.1"
11/09/2023 5:08:31 PM,"586","67.2","51","988.1"
11/09/2023 5:10:31 PM,"588","66.8","51","988.0"
11/09/2023 5:12:31 PM,"598","66.7","51","988.1"
11/09/2023 5:14:31 PM,"585","66.4","52","988.1"
11/09/2023 5:16:31 PM,"593","66.4","52","988.1"
11/09/2023 5:18:31 PM,"595","66.5","52","988.0"
11/09/2023 5:20:31 PM,"593","66.7","52","988.0"
11/09/2023 5:22:31 PM,"605","66.8","52","988.1"
11/09/2023 5:24:31 PM,"601","66.8","52","988.1"
11/09/2023 5:26:31 PM,"586","66.7","51","988.1"
11/09/2023 5:28:31 PM,"600","66.3","51","988.1"
11/09/2023 5:30:31 PM,"593","66.1","52","988.1"
11/09/2023 5:32:31 PM,"597","66.0","52","988.1"
11/09/2023 5:34:31 PM,"594","66.2","52","988.1"
11/09/2023 5:36:31 PM,"586","66.3","52","988.1"
11/09/2023 5:38:31 PM,"593","66.5","52","988.1"
11/09/2023 5:40:31 PM,"592","66.7","52","988.1"
11/09/2023 5:42:31 PM,"593","66.8","52","988.1"
11/09/2023 5:44:31 PM,"589","66.7","52","988.1"
11/09/2023 5:46:31 PM,"587","66.5","51","988.1"
11/09/2023 5:48:31 PM,"593","66.1","51","988.1"
11/09/2023 5:50:31 PM,"584","65.9","52","988.1"
11/09/2023 5:52:31 PM,"590","65.9","52","988.1"
11/09/2023 5:54:31 PM,"596","66.0","52","988.1"
11/09/2023 5:56:31 PM,"597","66.1","52","988.1"
11/09/2023 5:58:31 PM,"595","66.3","52","988.1"
11/09/2023 6:00:31 PM,"601","66.4","52","988.1"
11/09/2023 6:02:31 PM,"602","66.7","52","988.1"
11/09/2023 6:04:31 PM,"604","66.7","52","988.1"
11/09/2023 6:06:31 PM,"597","66.5","52","988.1"
11/09/2023 6:08:31 PM,"582","66.3","51","988.1"
11/09/2023 6:10:31 PM,"588","66.1","52","988.0"
11/09/2023 6:12:31 PM,"594","66.0","52","988.0"
11/09/2023 6:14:31 PM,"598","66.1","52","988.0"
11/09/2023 6:16:31 PM,"593","66.3","53","988.0"
11/09/2023 6:18:31 PM,"588","66.4","53","987.9"
11/09/2023 6:20:31 PM,"593","66.5","53","987.9"
11/09/2023 6:22:31 PM,"594","66.7","53","987.8"
11/09/2023 6:24:31 PM,"588","66.8","53","987.8"
11/09/2023 6:26:31 PM,"589","66.9","53","987.8"
11/09/2023 6:28:31 PM,"595","67.1","53","987.8"
11/09/2023 6:30:31 PM,"605","67.1","53","987.8"
11/09/2023 6:32:31 PM,"591","67.3","53","987.9"
11/09/2023 6:34:31 PM,"596","67.3","52","987.8"
11/09/2023 6:36:31 PM,"598","67.1","52","987.9"
11/09/2023 6:38:31 PM,"594","66.8","52","987.8"
11/09/2023 6:40:31 PM,"598","66.6","52","987.7"
11/09/2023 6:42:31 PM,"583","66.6","53","987.7"
11/09/2023 6:44:31 PM,"596","66.7","53","987.7"
11/09/2023 6:46:31 PM,"601","66.7","53","987.7"
