Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°F),Relative humidity(%),Atmospheric pressure(hPa)
10/01/2023 9:06:56 PM,"1624","62.7","66","997"
10/01/2023 9:08:56 PM,"1115","65.9","59","997"
10/01/2023 9:10:56 PM,"965","68.4","59","997"
10/01/2023 9:12:56 PM,"931","69.0","62","997"
10/01/2023 9:14:56 PM,"895","69.1","63","997"
10/01/2023 9:16:56 PM,"894","68.9","63","997"
10/01/2023 9:18:56 PM,"864","68.8","63","997"
10/01/2023 9:20:56 PM,"872","68.5","64","997"
10/01/2023 9:22:56 PM,"849","68.3","64","997"
10/01/2023 9:24:57 PM,"846","68.0","64","997"
10/01/2023 9:26:55 PM,"841","67.9","64","997"
10/01/2023 9:28:55 PM,"823","67.6","64","997"
10/01/2023 9:30:55 PM,"830","67.5","64","997"
10/01/2023 9:32:55 PM,"832","67.5","64","997"
10/01/2023 9:34:55 PM,"831","67.3","64","997"
10/01/2023 9:36:55 PM,"819","67.3","64","997"
10/01/2023 9:38:55 PM,"832","67.1","64","997"
10/01/2023 9:40:55 PM,"817","67.0","64","997"
10/01/2023 9:42:55 PM,"827","66.9","65","997"
10/01/2023 9:44:55 PM,"835","66.8","65","997"
10/01/2023 9:46:55 PM,"814","66.8","65","997"
10/01/2023 9:48:55 PM,"813","66.7","65","997"
10/01/2023 9:50:55 PM,"823","66.7","65","997"
10/01/2023 9:52:55 PM,"816","66.7","65","997"
10/01/2023 9:54:55 PM,"823","66.6","65","997"
10/01/2023 9:56:55 PM,"809","66.5","65","997"
10/01/2023 9:58:55 PM,"809","66.5","65","997"
10/01/2023 10:00:55 PM,"809","66.5","65","997"
10/01/2023 10:02:55 PM,"810","66.5","65","997"
10/01/2023 10:04:55 PM,"806","66.5","65","997"
10/01/2023 10:06:55 PM,"814","66.5","65","997"
10/01/2023 10:08:55 PM,"817","66.4","66","997"
10/01/2023 10:10:55 PM,"798","66.5","66","997"
10/01/2023 10:12:55 PM,"812","66.4","66","997"
10/01/2023 10:14:55 PM,"799","66.4","66","997"
10/01/2023 10:16:55 PM,"788","66.4","66","997"
10/01/2023 10:18:55 PM,"811","66.4","66","997"
10/01/2023 10:20:55 PM,"799","66.4","66","997"
10/01/2023 10:22:55 PM,"805","66.4","66","997"
10/01/2023 10:24:55 PM,"788","66.4","66","997"
10/01/2023 10:26:55 PM,"802","66.4","66","997"
10/01/2023 10:28:55 PM,"793","66.4","66","998"
10/01/2023 10:30:55 PM,"798","66.4","66","998"
10/01/2023 10:32:55 PM,"796","66.4","66","998"
10/01/2023 10:34:55 PM,"803","66.5","66","998"
10/01/2023 10:36:55 PM,"789","66.4","66","998"
10/01/2023 10:38:55 PM,"792","66.5","66","998"
10/01/2023 10:40:55 PM,"801","66.5","66","998"
10/01/2023 10:42:55 PM,"802","66.5","66","997"
10/01/2023 10:44:55 PM,"801","66.5","66","997"
10/01/2023 10:46:55 PM,"794","66.6","66","997"
10/01/2023 10:48:55 PM,"781","66.6","66","997"
10/01/2023 10:50:55 PM,"788","66.7","66","997"
10/01/2023 10:52:55 PM,"784","66.6","66","997"
10/01/2023 10:54:55 PM,"792","66.6","66","997"
10/01/2023 10:56:55 PM,"780","66.6","66","997"
10/01/2023 10:58:55 PM,"804","66.6","67","997"
10/01/2023 11:00:55 PM,"777","66.7","67","997"
10/01/2023 11:02:55 PM,"779","66.7","67","997"
10/01/2023 11:04:55 PM,"774","66.6","67","997"
10/01/2023 11:06:55 PM,"789","66.7","67","997"
10/01/2023 11:08:55 PM,"798","66.7","67","997"
10/01/2023 11:10:55 PM,"796","66.7","67","997"
10/01/2023 11:12:55 PM,"793","66.7","67","997"
10/01/2023 11:14:55 PM,"794","66.7","67","997"
10/01/2023 11:16:55 PM,"799","66.7","67","998"
10/01/2023 11:18:55 PM,"802","66.7","67","998"
10/01/2023 11:20:55 PM,"785","66.7","67","998"
10/01/2023 11:22:55 PM,"783","66.8","67","998"
10/01/2023 11:24:55 PM,"792","66.8","67","998"
10/01/2023 11:26:55 PM,"772","66.8","67","998"
