ID,prof_ID,score,age,bty_avg,gender,ethnicity,language,rank,pic_outfit,pic_color,cls_did_eval,cls_students,cls_level
1,1,4.7,36,5,female,minority,english,tenure track,not formal,color,24,43,upper
2,1,4.1,36,5,female,minority,english,tenure track,not formal,color,86,125,upper
3,1,3.9,36,5,female,minority,english,tenure track,not formal,color,76,125,upper
4,1,4.8,36,5,female,minority,english,tenure track,not formal,color,77,123,upper
5,2,4.6,59,3,male,not minority,english,tenured,not formal,color,17,20,upper
6,2,4.3,59,3,male,not minority,english,tenured,not formal,color,35,40,upper
7,2,2.8,59,3,male,not minority,english,tenured,not formal,color,39,44,upper
8,3,4.1,51,3.333,male,not minority,english,tenured,not formal,color,55,55,upper
9,3,3.4,51,3.333,male,not minority,english,tenured,not formal,color,111,195,upper
10,4,4.5,40,3.167,female,not minority,english,tenured,not formal,color,40,46,upper
11,4,3.8,40,3.167,female,not minority,english,tenured,not formal,color,24,27,upper
12,4,4.5,40,3.167,female,not minority,english,tenured,not formal,color,24,25,upper
13,4,4.6,40,3.167,female,not minority,english,tenured,not formal,color,17,20,upper
14,4,3.9,40,3.167,female,not minority,english,tenured,not formal,color,14,25,upper
15,4,3.9,40,3.167,female,not minority,english,tenured,not formal,color,37,42,upper
16,4,4.3,40,3.167,female,not minority,english,tenured,not formal,color,18,20,upper
17,4,4.5,40,3.167,female,not minority,english,tenured,not formal,color,15,18,upper
18,5,4.8,31,7.333,female,not minority,english,tenure track,not formal,color,42,48,upper
19,5,4.6,31,7.333,female,not minority,english,tenure track,not formal,color,40,44,upper
20,5,4.6,31,7.333,female,not minority,english,tenure track,not formal,color,38,48,upper
21,5,4.9,31,7.333,female,not minority,english,tenure track,not formal,color,40,45,upper
22,5,4.6,31,7.333,female,not minority,english,tenure track,not formal,color,52,59,upper
23,5,4.5,31,7.333,female,not minority,english,tenure track,not formal,color,49,87,upper
24,6,4.4,62,5.5,male,not minority,english,tenured,formal,color,182,282,upper
25,6,4.6,62,5.5,male,not minority,english,tenured,formal,color,160,292,upper
26,6,4.7,62,5.5,male,not minority,english,tenured,formal,color,79,130,upper
27,6,4.5,62,5.5,male,not minority,english,tenured,formal,color,176,285,upper
28,6,4.8,62,5.5,male,not minority,english,tenured,formal,color,155,272,upper
29,6,4.9,62,5.5,male,not minority,english,tenured,formal,color,166,286,upper
30,6,4.5,62,5.5,male,not minority,english,tenured,formal,color,186,302,upper
31,7,4.4,33,4.167,female,not minority,english,tenure track,not formal,color,33,41,upper
32,7,4.3,33,4.167,female,not minority,english,tenure track,not formal,color,29,34,upper
33,7,4.1,33,4.167,female,not minority,english,tenure track,not formal,color,37,41,upper
34,7,4.2,33,4.167,female,not minority,english,tenure track,not formal,color,29,41,upper
35,7,3.5,33,4.167,female,not minority,english,tenure track,not formal,color,28,34,upper
36,8,3.4,51,4,female,not minority,english,tenured,not formal,color,25,41,upper
37,8,4.5,51,4,female,not minority,english,tenured,not formal,color,21,22,upper
38,8,4.4,51,4,female,not minority,english,tenured,not formal,color,13,21,upper
39,8,4.4,51,4,female,not minority,english,tenured,not formal,color,16,17,upper
40,8,2.5,51,4,female,not minority,english,tenured,not formal,color,24,30,lower
41,8,4.3,51,4,female,not minority,english,tenured,not formal,color,23,23,upper
42,8,4.5,51,4,female,not minority,english,tenured,not formal,color,20,20,upper
43,9,4.8,33,4.667,female,not minority,english,tenure track,not formal,color,48,60,upper
44,9,4.8,33,4.667,female,not minority,english,tenure track,not formal,color,29,33,upper
45,9,4.4,33,4.667,female,not minority,english,tenure track,not formal,color,11,44,upper
46,9,4.7,33,4.667,female,not minority,english,tenure track,not formal,color,29,49,upper
47,9,4.4,33,4.667,female,not minority,english,tenure track,not formal,color,25,29,upper
48,9,4.7,33,4.667,female,not minority,english,tenure track,not formal,color,42,48,upper
49,9,4.5,33,4.667,female,not minority,english,tenure track,not formal,color,34,40,upper
50,10,4,47,5.5,male,not minority,english,teaching,not formal,color,16,19,upper
51,10,4.3,47,5.5,male,not minority,english,teaching,not formal,color,12,16,upper
52,10,4.4,47,5.5,male,not minority,english,teaching,not formal,color,14,15,upper
53,10,4.5,47,5.5,male,not minority,english,teaching,not formal,color,22,23,upper
54,10,5,47,5.5,male,not minority,english,teaching,not formal,color,10,11,lower
55,10,4.9,47,5.5,male,not minority,english,teaching,not formal,color,17,29,lower
56,10,4.6,47,5.5,male,not minority,english,teaching,not formal,color,16,21,upper
57,10,5,47,5.5,male,not minority,english,teaching,not formal,color,15,18,lower
58,10,4.7,47,5.5,male,not minority,english,teaching,not formal,color,16,19,upper
59,10,5,47,5.5,male,not minority,english,teaching,not formal,color,16,20,lower
60,11,3.6,35,4.833,male,minority,non-english,tenure track,not formal,color,18,25,upper
61,11,3.7,35,4.833,male,minority,non-english,tenure track,not formal,color,30,33,upper
62,11,4.3,35,4.833,male,minority,non-english,tenure track,not formal,color,23,24,upper
63,12,4.1,37,4.333,male,not minority,english,teaching,not formal,color,30,34,upper
64,12,4.2,37,4.333,male,not minority,english,teaching,not formal,color,13,21,upper
65,12,4.7,37,4.333,male,not minority,english,teaching,not formal,color,24,30,upper
66,12,4.7,37,4.333,male,not minority,english,teaching,not formal,color,24,25,upper
67,12,3.5,37,4.333,male,not minority,english,teaching,not formal,color,25,35,upper
68,13,4.1,42,4.833,male,not minority,english,tenured,not formal,color,28,40,upper
69,13,4.2,42,4.833,male,not minority,english,tenured,not formal,color,18,30,upper
70,13,4,42,4.833,male,not minority,english,tenured,not formal,color,28,42,upper
71,13,4,42,4.833,male,not minority,english,tenured,not formal,color,25,57,upper
72,13,3.9,42,4.833,male,not minority,english,tenured,not formal,color,40,57,upper
73,13,4.4,42,4.833,male,not minority,english,tenured,not formal,color,40,51,upper
74,13,3.8,42,4.833,male,not minority,english,tenured,not formal,color,18,30,upper
75,14,3.5,49,4,male,not minority,non-english,tenured,not formal,color,30,36,upper
76,14,4.2,49,4,male,not minority,non-english,tenured,not formal,color,31,37,upper
77,14,3.5,49,4,male,not minority,non-english,tenured,not formal,color,15,29,upper
78,14,3.6,49,4,male,not minority,non-english,tenured,not formal,color,23,27,upper
79,15,2.9,37,5.5,female,not minority,english,tenure track,not formal,color,23,28,upper
80,15,3.3,37,5.5,female,not minority,english,tenure track,not formal,color,34,52,upper
81,15,3.3,37,5.5,female,not minority,english,tenure track,not formal,color,21,26,upper
82,15,3.2,37,5.5,female,not minority,english,tenure track,not formal,color,29,30,upper
83,16,4.6,45,4.167,male,not minority,english,tenured,not formal,color,23,33,upper
84,16,4.2,45,4.167,male,not minority,english,tenured,not formal,color,45,177,lower
85,16,4.3,45,4.167,male,not minority,english,tenured,not formal,color,90,199,lower
86,16,4.4,45,4.167,male,not minority,english,tenured,not formal,color,27,32,upper
87,16,4.1,45,4.167,male,not minority,english,tenured,not formal,color,35,37,upper
88,16,4.6,45,4.167,male,not minority,english,tenured,not formal,color,120,161,lower
89,17,4.4,56,2.5,female,not minority,english,teaching,not formal,color,27,41,upper
90,17,4.8,56,2.5,female,not minority,english,teaching,not formal,color,39,44,upper
91,17,4.3,56,2.5,female,not minority,english,teaching,not formal,color,35,53,upper
92,17,3.6,56,2.5,female,not minority,english,teaching,not formal,color,34,49,upper
93,17,4.3,56,2.5,female,not minority,english,teaching,not formal,color,27,32,upper
94,18,4,48,4.333,male,not minority,english,teaching,not formal,color,100,135,lower
95,18,4.2,48,4.333,male,not minority,english,teaching,not formal,color,20,33,upper
96,18,4.1,48,4.333,male,not minority,english,teaching,not formal,color,14,19,upper
97,18,4.1,48,4.333,male,not minority,english,teaching,not formal,color,65,111,lower
98,18,4.4,48,4.333,male,not minority,english,teaching,not formal,color,95,149,lower
99,18,4.3,48,4.333,male,not minority,english,teaching,not formal,color,18,27,upper
100,18,4.4,48,4.333,male,not minority,english,teaching,not formal,color,85,136,lower
101,18,4.4,48,4.333,male,not minority,english,teaching,not formal,color,113,140,lower
102,19,4.9,46,4.333,female,not minority,english,tenured,not formal,black&white,25,31,upper
103,19,5,46,4.333,female,not minority,english,tenured,not formal,black&white,14,15,lower
104,19,4.4,46,4.333,female,not minority,english,tenured,not formal,black&white,23,29,upper
105,19,4.8,46,4.333,female,not minority,english,tenured,not formal,black&white,23,25,upper
106,19,4.9,46,4.333,female,not minority,english,tenured,not formal,black&white,9,18,upper
107,19,4.3,46,4.333,female,not minority,english,tenured,not formal,black&white,30,45,upper
108,19,5,46,4.333,female,not minority,english,tenured,not formal,black&white,15,15,lower
109,19,4.7,46,4.333,female,not minority,english,tenured,not formal,black&white,31,38,upper
110,19,4.5,46,4.333,female,not minority,english,tenured,not formal,black&white,12,15,lower
111,20,3.5,57,4.333,female,not minority,english,teaching,not formal,color,17,28,upper
112,20,3.9,57,4.333,female,not minority,english,teaching,not formal,color,10,23,upper
113,20,4,57,4.333,female,not minority,english,teaching,not formal,color,15,19,upper
114,20,4,57,4.333,female,not minority,english,teaching,not formal,color,7,23,upper
115,20,3.7,57,4.333,female,not minority,english,teaching,not formal,color,7,22,upper
116,20,3.4,57,4.333,female,not minority,english,teaching,not formal,color,14,20,upper
117,20,3.3,57,4.333,female,not minority,english,teaching,not formal,color,8,19,upper
118,20,3.8,57,4.333,female,not minority,english,teaching,not formal,color,17,23,upper
119,20,3.9,57,4.333,female,not minority,english,teaching,not formal,color,10,22,upper
120,20,3.4,57,4.333,female,not minority,english,teaching,not formal,color,12,15,upper
